Iterations	CAF	CAF_yerr	Native	Native_yerr	Percentage
#	s		s		
1000	73.223	0.117348	67.142	0.0130437	8.30476762765798
2000	146.454	0.280637	134.719	0.0198945	8.01275485818073
3000	219.608	0.133107	202.757	0.0570904	7.67321773341591
4000	292.982	0.300836	271.298	0.0452167	7.40113727123168
5000	366.639	0.520455	340.317	0.0480384	7.17926898120496
6000	442.069	0.963507	409.756	0.0934908	7.30949240955598
7000	516.289	0.364993	479.815	0.161201	7.06464790069128
8000	593.941	1.13244	550.103	0.153119	7.38086779663302
9000	670.935	0.58675	621.002	0.20013	7.44230066996058
10000	747.485	0.824637	692.128	0.0850602	7.40576733981284
