Problem Size	VAST	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean	OpenCL	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean		
N	us				us					
		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		
20000	4528.4	756.05705252095	3987.54950356996	5069.25049643004	6488.2	1057.54346377715	5731.6791720108	7244.7208279892	--	--
100000	16830.9	1685.16807272549	15625.403687701	18036.396312299	10591.8	647.860718913496	10128.3484783542	11055.2515216458	--	--
250000	38837.1	3142.64766116442	36588.9858636685	41085.2141363315	18091.7	1613.0323445128	16937.8064659359	19245.5935340641	--	--
500000	65499.2	2102.13319167829	63995.4248860845	67002.9751139155	26782.2	1653.00889289804	25599.7089732366	27964.6910267634	--	--
750000	88967.5	1755.34119823532	87711.8048705066	90223.1951294934	35790.4	1655.42241671961	34606.1824427418	36974.6175572582	--	--
1000000	113291.5	2745.4605057966	111327.516366043	115255.483633957	50445.2	3541.67326430758	47911.640215316	52978.759784684	--	--
1250000	140466.1	3205.42943734186	138173.07449792	142759.12550208	59962.1	1442.82534940612	58929.9651843982	60994.2348156018	--	--
1500000	164773	2009.09841581851	163335.777938584	166210.222061416	61795.7	2084.37995310089	60304.6247846779	63286.7752153221	--	--
1750000	186904.7	2585.94199685745	185054.829004053	188754.570995947	71306.7	1231.32954790972	70425.8601281472	72187.5398718528	--	--
2000000	208893.8	10976.9862976036	201041.339040117	216746.260959883	91447.9	4476.40851700457	88245.6710669149	94650.1289330851	--	--
2250000	238896.7	5888.77346312456	234684.126305627	243109.273694373	91607.6	5742.07829583989	87499.9656799575	95715.2343200424	--	--
2500000	258280.3	18505.2644584663	245042.434635794	271518.165364206	102593.1	8028.94226394597	96849.5421629504	108336.65783705	--	--
2750000	274816.9	20528.1813257883	260131.927452176	289501.872547824	116070.9	5740.88137735739	111964.121903642	120177.678096358	--	--
3000000	288049.2	20325.2920153958	273509.365684642	302589.034315358	125519.5	2689.66335150785	123595.431235557	127443.568764443	--	--
3250000	301648.2	17293.0323078401	289277.513056085	314018.886943915	121350.1	7836.9651077442	115743.87431254	126956.32568746	--	--
3500000	331703.8	21950.0468984566	316001.686353803	347405.913646197	125209	3725.56719022606	122543.890458863	127874.109541137	--	--
3750000	345827.7	19889.4749388828	331599.630360864	360055.769639136	151719.8	2043.57240580748	150257.916738034	153181.683261966	--	--
4000000	379469.3	26732.0389713667	360346.356169183	398592.243830817	158645.6	6549.38407960796	153960.454059021	163330.745940979	--	--
4250000	414355.5	26570.6105364137	395348.035085611	433362.964914389	168887.8	14803.3218704452	158298.144158886	179477.455841114	--	--
4500000	428824.7	23786.0135703036	411809.215249616	445840.184750384	187275.6	15835.3856718988	175947.650378671	198603.549621329	--	--
4750000	465345.2	27243.2120263215	445856.585087071	484833.814912929	198194.5	20103.4855753369	183813.336413018	212575.663586982	--	--
5000000	476994.3	21561.4229588659	461570.19110219	492418.408897811	180063.8	12690.1034826356	170985.849142393	189141.750857607	--	--
5250000	488798.3	23147.7046092648	472239.433857038	505357.166142962	211531.3	23355.0352745993	194824.11847145	228238.48152855	--	--
5500000	511402.8	18038.4414564501	498498.879609316	524306.720390684	228809.6	12419.8592691973	219924.970157663	237694.229842337	--	--
5750000	523514.7	7784.93526769634	517945.694208479	529083.705791521	241310.6	23893.5291016906	224218.203291278	258402.996708722	--	--
6000000	539874.2	11582.1134302471	531588.857276761	548159.542723239	228484.5	9029.766789778	222024.995608612	234944.004391388	--	--
6250000	555739.9	25682.2495140126	537367.930116538	574111.869883462	255109.2	20897.0886903734	240160.327088299	270058.072911701	--	--
6500000	572637.5	18587.5954768526	559340.738588178	585934.261411822	261476.9	16253.1159709967	249850.124200293	273103.675799707	--	--
6750000	594384.3	14546.9340034249	583978.052943573	604790.547056428	228504	18191.3136475138	215490.72145949	241517.27854051	--	--
7000000	598541.3	24354.2277783094	581119.33939511	615963.26060489	250718.1	42153.6553007104	220563.199229336	280873.000770664	--	--
7250000	632909.8	36510.9512241038	606791.445533434	659028.154466567	298045.6	18234.3565355805	285001.53044008	311089.66955992	--	--
7500000	654238.8	14731.2093023998	643700.730369339	664776.869630661	291904.5	2388.98431463154	290195.524006424	293613.475993576	--	--
7750000	675028.8	19976.8622483334	660738.217261436	689319.382738564	294555.8	24514.4177477482	277019.246423316	312092.353576684	--	--
8000000	712844	18134.2071113009	699871.573004167	725816.426995832	316452.8	8851.07841263801	310121.121540743	322784.478459257	--	--
8250000	737998.3	20550.0300678342	723297.697807638	752698.902192362	341150.1	29596.0186528526	319978.389045945	362321.810954055	--	--
8500000	770686.2	20531.4155154161	755998.913852879	785373.486147121	297549.2	16429.884788938	285795.971437742	309302.428562258	--	--
